,insulation_thickness,u_values,annual_energy_use
466,0.46,1.05,1053.0
467,0.46,1.0,1004.3
468,0.46,0.95,955.4
469,0.46,0.9,906.5
470,0.46,0.85,857.4
471,0.46,0.8,808.0
472,0.46,0.75,758.3
473,0.46,0.7,708.4
474,0.46,0.65,658.3
475,0.46,0.6,608.2
476,0.46,0.55,558.2
477,0.46,0.5,508.2
478,0.46,0.45,458.4
479,0.46,0.4,408.8
480,0.46,0.35,359.9
481,0.46,0.3,311.1
482,0.46,0.25,262.6
483,0.48,1.25,1242.8
484,0.48,1.2,1195.2
485,0.48,1.15,1147.3
486,0.48,1.1,1099.2
487,0.48,1.05,1050.7
488,0.48,1.0,1001.9
489,0.48,0.95,953.1
490,0.48,0.9,904.2
491,0.48,0.85,855.1
492,0.48,0.8,805.7
493,0.48,0.75,756.0
494,0.48,0.7,706.1
495,0.48,0.65,656.1
496,0.48,0.6,606.0
497,0.48,0.55,556.0
498,0.48,0.5,506.1
499,0.48,0.45,456.2
500,0.48,0.4,406.7
501,0.48,0.35,357.8
502,0.48,0.3,309.0
503,0.48,0.25,260.6
504,0.5,1.25,1240.6
505,0.5,1.2,1193.0
506,0.5,1.15,1145.1
507,0.5,1.1,1097.0
508,0.5,1.05,1048.5
509,0.5,1.0,999.8
510,0.5,0.95,950.9
511,0.5,0.9,902.1
512,0.5,0.85,853.0
513,0.5,0.8,803.6
514,0.5,0.75,754.0
515,0.5,0.7,704.0
516,0.5,0.65,654.0
517,0.5,0.6,604.0
518,0.5,0.55,554.0
519,0.5,0.5,504.1
520,0.5,0.45,454.3
521,0.5,0.4,404.8
522,0.5,0.35,355.9
523,0.5,0.3,307.1
524,0.5,0.25,258.8
