,Insulation thickness (m),Window U-value (W/m2K),Window SHGC (ratio),Shading control (W/m2),Thermostat settings offset (C),Heating energy (kWh),Cooling energy (kWh),Total energy (kWh)
110,0.001,2.4,0.44,600,-2,2797.22214211387,2537.3,5334.5
111,0.001,2.4,0.44,600,-3,2524.243608134554,2652.2,5176.4
112,0.001,2.4,0.44,800,3,4057.951449383992,1963.6,6021.5
113,0.001,2.4,0.44,800,2,3769.9691330596534,2162.7,5932.6
114,0.001,2.4,0.44,800,1,3484.3622492119766,2351.6,5836.0
115,0.001,2.4,0.44,800,0,3202.9999622294567,2530.0,5733.0
116,0.001,2.4,0.44,800,-1,2927.496850436434,2689.4,5616.8
117,0.001,2.4,0.44,800,-2,2659.3360556248654,2826.4,5485.7
118,0.001,2.4,0.44,800,-3,2400.3824262495164,2940.8,5341.2
119,0.001,2.4,0.44,1000,3,4049.817472653059,1965.1,6014.9
120,0.001,2.4,0.44,1000,2,3761.9918665593136,2164.2,5926.1
121,0.001,2.4,0.44,1000,1,3476.6242139822134,2353.1,5829.7
122,0.001,2.4,0.44,1000,0,3195.6265062197213,2531.4,5727.0
123,0.001,2.4,0.44,1000,-1,2921.41252681244,2690.8,5612.2
124,0.001,2.4,0.44,1000,-2,2654.1173287124398,2827.8,5481.9
125,0.001,2.4,0.44,1000,-3,2395.589991164018,2942.2,5337.8
126,0.001,2.4,0.56,0,3,4962.2757703087145,469.9,5432.2
127,0.001,2.4,0.56,0,2,4649.163130077522,605.2,5254.4
128,0.001,2.4,0.56,0,1,4336.5530602037825,747.1,5083.6
129,0.001,2.4,0.56,0,0,4025.738393144331,889.3,4915.1
130,0.001,2.4,0.56,0,-1,3717.3501383745643,1033.7,4751.0
131,0.001,2.4,0.56,0,-2,3413.426073684777,1168.9,4582.3
132,0.001,2.4,0.56,0,-3,3116.1204150351155,1291.3,4407.4
133,0.001,2.4,0.56,200,3,4611.7779551125695,844.6,5456.4
134,0.001,2.4,0.56,200,2,4305.624708362294,1019.2,5324.8
135,0.001,2.4,0.56,200,1,4000.302936977789,1205.7,5206.0
136,0.001,2.4,0.56,200,0,3696.656867267164,1391.6,5088.3
137,0.001,2.4,0.56,200,-1,3397.272725286301,1563.2,4960.5
138,0.001,2.4,0.56,200,-2,3102.864209811823,1715.3,4818.2
139,0.001,2.4,0.56,200,-3,2815.1466212125943,1845.3,4660.5
140,0.001,2.4,0.56,400,3,4330.252114002814,1426.6,5756.8
141,0.001,2.4,0.56,400,2,4030.105327251946,1623.3,5653.4
142,0.001,2.4,0.56,400,1,3732.0042508585616,1819.9,5551.9
143,0.001,2.4,0.56,400,0,3436.4163312053224,2011.2,5447.6
144,0.001,2.4,0.56,400,-1,3144.426390952775,2180.6,5325.1
145,0.001,2.4,0.56,400,-2,2859.273137970271,2324.2,5183.4
146,0.001,2.4,0.56,400,-3,2581.107061429736,2441.8,5023.0
147,0.001,2.4,0.56,600,3,4013.0773762277454,2171.0,6184.1
148,0.001,2.4,0.56,600,2,3724.144318359585,2373.8,6097.9
149,0.001,2.4,0.56,600,1,3437.502200108134,2566.8,6004.3
150,0.001,2.4,0.56,600,0,3153.9619864139045,2744.8,5898.8
151,0.001,2.4,0.56,600,-1,2874.8583379772563,2902.2,5777.0
152,0.001,2.4,0.56,600,-2,2603.23018530294,3034.2,5637.4
153,0.001,2.4,0.56,600,-3,2342.169708673805,3143.5,5485.6
154,0.001,2.4,0.56,800,3,3793.2633413936087,2559.5,6352.8
155,0.001,2.4,0.56,800,2,3515.937986306181,2761.6,6277.6
156,0.001,2.4,0.56,800,1,3241.8100688132636,2952.7,6194.5
157,0.001,2.4,0.56,800,0,2973.66395206494,3128.9,6102.6
158,0.001,2.4,0.56,800,-1,2708.5533396869237,3284.7,5993.3
159,0.001,2.4,0.56,800,-2,2452.9520943939096,3415.2,5868.1
160,0.001,2.4,0.56,800,-3,2208.6676422780756,3522.7,5731.4
161,0.001,2.4,0.56,1000,3,3783.730602946703,2561.5,6345.2
162,0.001,2.4,0.56,1000,2,3507.1037363788914,2763.5,6270.6
163,0.001,2.4,0.56,1000,1,3234.206619002728,2954.6,6188.8
164,0.001,2.4,0.56,1000,0,2967.1664133612844,3130.9,6098.0
165,0.001,2.4,0.56,1000,-1,2702.7832391715633,3286.6,5989.4
166,0.001,2.4,0.56,1000,-2,2448.1713210686435,3417.0,5865.2
167,0.001,2.4,0.56,1000,-3,2204.1127005317903,3524.6,5728.7
168,0.001,2.4,0.68,0,3,4935.219612478248,504.1,5439.3
